fold num,imgid,feature1,feature2,feature3,label
"0   NaN
Name: fold num, dtype: float64",1.jpg,39425.5,0,933.7615353,0
"1   NaN
Name: fold num, dtype: float64",2.jpg,39270.5,0,842.2813064,0
"2   NaN
Name: fold num, dtype: float64",3.jpg,36300,0,988.0041759,0
"3   NaN
Name: fold num, dtype: float64",4.jpg,213.5,0,1592.403232,0
"4   NaN
Name: fold num, dtype: float64",5.jpg,196,0,1644.846884,0
"5   NaN
Name: fold num, dtype: float64",6.jpg,181,0,1549.876321,0
"6   NaN
Name: fold num, dtype: float64",7.jpg,29747.5,0,788.0802959,0
"7   NaN
Name: fold num, dtype: float64",8.jpg,31967.5,0,964.5899624,0
"8   NaN
Name: fold num, dtype: float64",9.jpg,36382.5,0,1032.874233,0
"9   NaN
Name: fold num, dtype: float64",10.jpg,234,0,1762.469248,0
"10   NaN
Name: fold num, dtype: float64",11.jpg,31259.5,0,881.4772645,0
"11   NaN
Name: fold num, dtype: float64",12.jpg,121.5,0,897.0752436,0
"12   NaN
Name: fold num, dtype: float64",13.jpg,33855.5,0,964.6488374,0
"13   NaN
Name: fold num, dtype: float64",14.jpg,37829.5,0,889.8204104,0
"14   NaN
Name: fold num, dtype: float64",15.jpg,34151,0,845.0336134,0
"15   NaN
Name: fold num, dtype: float64",16.jpg,204.5,0,1819.31492,0
"16   NaN
Name: fold num, dtype: float64",17.jpg,36228,0,855.9209156,0
"17   NaN
Name: fold num, dtype: float64",18.jpg,215.5,0,1752.084472,0
"18   NaN
Name: fold num, dtype: float64",19.jpg,37224.5,0,1022.388952,0
"19   NaN
Name: fold num, dtype: float64",20.jpg,219,0,1693.900706,0
"20   NaN
Name: fold num, dtype: float64",21.jpg,255.5,0,1853.765711,0
"21   NaN
Name: fold num, dtype: float64",22.jpg,36942,0,964.430582,0
"22   NaN
Name: fold num, dtype: float64",23.jpg,208,0,1838.871269,0
"23   NaN
Name: fold num, dtype: float64",24.jpg,163.5,0,1495.751431,0
"24   NaN
Name: fold num, dtype: float64",25.jpg,31229,0,913.3767593,0
"25   NaN
Name: fold num, dtype: float64",26.jpg,35263.5,0,1045.158504,0
"26   NaN
Name: fold num, dtype: float64",27.jpg,190,0,1623.675311,0
"27   NaN
Name: fold num, dtype: float64",28.jpg,253,0,2054.576893,0
"28   NaN
Name: fold num, dtype: float64",29.jpg,283,0,2130.802289,0
"29   NaN
Name: fold num, dtype: float64",30.jpg,255.5,0,1893.623576,0
"30   NaN
Name: fold num, dtype: float64",31.jpg,199,0,1385.675311,0
"31   NaN
Name: fold num, dtype: float64",32.jpg,32122.5,0,850.6488374,0
"32   NaN
Name: fold num, dtype: float64",33.jpg,245.5,0,1520.084472,0
"33   NaN
Name: fold num, dtype: float64",34.jpg,138.5,0,1121.928056,0
"34   NaN
Name: fold num, dtype: float64",35.jpg,35464,0,953.1168737,0
"35   NaN
Name: fold num, dtype: float64",36.jpg,40797,0,910.0041759,0
"36   NaN
Name: fold num, dtype: float64",37.jpg,122.5,0,900.9331082,0
"37   NaN
Name: fold num, dtype: float64",38.jpg,265.5,0,1922.535263,0
"38   NaN
Name: fold num, dtype: float64",39.jpg,32669,0,822.6072073,0
"39   NaN
Name: fold num, dtype: float64",40.jpg,117,0,1068.489457,0
"40   NaN
Name: fold num, dtype: float64",41.jpg,29843.5,0,873.3940042,0
"41   NaN
Name: fold num, dtype: float64",42.jpg,271,0,1935.748466,0
"42   NaN
Name: fold num, dtype: float64",43.jpg,30087.5,0,788.7077125,0
"43   NaN
Name: fold num, dtype: float64",44.jpg,35812.5,0,919.9625458,0
"44   NaN
Name: fold num, dtype: float64",45.jpg,36099.5,0,888.5067021,0
"45   NaN
Name: fold num, dtype: float64",46.jpg,649,0,2286.223643,0
"46   NaN
Name: fold num, dtype: float64",47.jpg,217.5,0,1785.599191,0
"47   NaN
Name: fold num, dtype: float64",48.jpg,149,0,1340.396092,0
"48   NaN
Name: fold num, dtype: float64",49.jpg,245,0,1886.978914,0
"49   NaN
Name: fold num, dtype: float64",50.jpg,221.5,0,1821.824586,0
"50   NaN
Name: fold num, dtype: float64",51.jpg,35015,0,858.6904676,0
"51   NaN
Name: fold num, dtype: float64",52.jpg,130,0,1015.259009,0
"52  NaN
Name: fold num, dtype: float64",53.jpg,333.5,0,1848.628628,0
"53   NaN
Name: fold num, dtype: float64",54.jpg,153,0,1069.685415,0
"54   NaN
Name: fold num, dtype: float64",55.jpg,209,0,1710.243852,0
"55   NaN
Name: fold num, dtype: float64",56.jpg,37.5,27,469.4041089,1
"56   NaN
Name: fold num, dtype: float64",57.jpg,121.5,57,933.7615353,1
"57   NaN
Name: fold num, dtype: float64",58.jpg,155.5,32,1428.579858,1
"58   NaN
Name: fold num, dtype: float64",59.jpg,28916,0,832.8082178,1
"59   NaN
Name: fold num, dtype: float64",60.jpg,49504,247,1744.989019,1
"60   NaN
Name: fold num, dtype: float64",61.jpg,151,123.5,1415.165644,1
"61   NaN
Name: fold num, dtype: float64",62.jpg,54510,254.5,1905.699696,1
"62   NaN
Name: fold num, dtype: float64",63.jpg,30682,309,1020.229572,1
"63   NaN
Name: fold num, dtype: float64",64.jpg,24080,520.5,742.4823169,1
"64   NaN
Name: fold num, dtype: float64",65.jpg,24990,121,946.7493427,1
"65   NaN
Name: fold num, dtype: float64",66.jpg,193,104.5,1569.332165,1
"66   NaN
Name: fold num, dtype: float64",67.jpg,220.5,0,1690.829639,1
"67   NaN
Name: fold num, dtype: float64",68.jpg,34895,70.5,939.5188947,1
"68   NaN
Name: fold num, dtype: float64",69.jpg,33417.5,68,1253.124014,1
"69   NaN
Name: fold num, dtype: float64",70.jpg,185,69.5,1243.851936,1
"70   NaN
Name: fold num, dtype: float64",71.jpg,218.5,17,1725.741326,1
"71   NaN
Name: fold num, dtype: float64",72.jpg,230.5,59.5,2063.706836,1
"72   NaN
Name: fold num, dtype: float64",73.jpg,190,0,1500.562613,1
"73   NaN
Name: fold num, dtype: float64",74.jpg,35567.5,655.5,883.8204104,1
"74   NaN
Name: fold num, dtype: float64",75.jpg,54990,385,1830.025597,1
"75   NaN
Name: fold num, dtype: float64",76.jpg,215,11,1514.302727,1
"76   NaN
Name: fold num, dtype: float64",77.jpg,215.5,0,1699.599191,1
"77   NaN
Name: fold num, dtype: float64",78.jpg,31721.5,318,1096.129066,1
"78   NaN
Name: fold num, dtype: float64",79.jpg,52875,274,1433.952441,1
"79   NaN
Name: fold num, dtype: float64",80.jpg,157.5,0,1296.839743,1
"80   NaN
Name: fold num, dtype: float64",81.jpg,41420,214,1573.39104,1
"81   NaN
Name: fold num, dtype: float64",82.jpg,191.5,0,1396.177837,1
"82   NaN
Name: fold num, dtype: float64",83.jpg,47586,788,1932.417513,1
"83   NaN
Name: fold num, dtype: float64",84.jpg,45369,343.5,1921.12105,1
"84   NaN
Name: fold num, dtype: float64",85.jpg,222,61.5,1998.611383,1
"85   NaN
Name: fold num, dtype: float64",86.jpg,143.5,0,1021.643785,1
"86   NaN
Name: fold num, dtype: float64",87.jpg,238,0,2006.694643,1
"87   NaN
Name: fold num, dtype: float64",88.jpg,31560,266.5,948.6904676,1
"88   NaN
Name: fold num, dtype: float64",89.jpg,169,109,1109.768676,1
"89   NaN
Name: fold num, dtype: float64",90.jpg,42946,1687,2072.601279,1
"90   NaN
Name: fold num, dtype: float64",91.jpg,53714,2511,1803.599191,1
"91   NaN
Name: fold num, dtype: float64",92.jpg,241,73.5,1850.292623,1
"92   NaN
Name: fold num, dtype: float64",93.jpg,160,1,955.5432799,1
"93   NaN
Name: fold num, dtype: float64",94.jpg,51051,679.5,1813.48144,1
"94   NaN
Name: fold num, dtype: float64",95.jpg,244,0,1940.836779,1
"95   NaN
Name: fold num, dtype: float64",96.jpg,217.5,180.5,1578.427618,1
"96   NaN
Name: fold num, dtype: float64",97.jpg,49704,634.5,1400.680363,1
"97   NaN
Name: fold num, dtype: float64",98.jpg,30131,251,903.3767593,1
"98   NaN
Name: fold num, dtype: float64",99.jpg,279.5,189,2038.417513,1
"99   NaN
Name: fold num, dtype: float64",100.jpg,31900,164,911.1757488,1
"100   NaN
Name: fold num, dtype: float64",101.jpg,262.5,0,1942.192117,1
"101   NaN
Name: fold num, dtype: float64",102.jpg,31416,232,980.3056916,1
"102   NaN
Name: fold num, dtype: float64",103.jpg,38346,162,1093.74429,1
"103   NaN
Name: fold num, dtype: float64",104.jpg,207,0,1576.101717,1
"104   NaN
Name: fold num, dtype: float64",105.jpg,237.5,60,1999.422565,1
"105   NaN
Name: fold num, dtype: float64",106.jpg,244.5,153.5,1869.28043,1
"106   NaN
Name: fold num, dtype: float64",107.jpg,30274.5,807.5,1051.158504,1
"107   NaN
Name: fold num, dtype: float64",108.jpg,283,53,2153.429706,1
"108   NaN
Name: fold num, dtype: float64",109.jpg,51273,408,2202.902794,1
"109   NaN
Name: fold num, dtype: float64",110.jpg,248.5,0,1988.854024,1
"110   NaN
Name: fold num, dtype: float64",111.jpg,215,0,1497.817446,1
"111   NaN
Name: fold num, dtype: float64",112.jpg,116,0,605.0681033,1
"112   NaN
Name: fold num, dtype: float64",113.jpg,29191,1749,923.7199051,1
"113   NaN
Name: fold num, dtype: float64",114.jpg,31444,2096,917.3178842,1
"114   NaN
Name: fold num, dtype: float64",115.jpg,73.5,1.5,460.1147858,1
"115   NaN
Name: fold num, dtype: float64",116.jpg,24287,110,800.2640615,1
"116   NaN
Name: fold num, dtype: float64",117.jpg,37730,751.5,1491.013404,1
"117   NaN
Name: fold num, dtype: float64",118.jpg,42750,456,1773.682451,1
"118   NaN
Name: fold num, dtype: float64",119.jpg,24252.5,798.5,763.3940042,1
"119   NaN
Name: fold num, dtype: float64",120.jpg,33099,662,997.9036707,1
"120   NaN
Name: fold num, dtype: float64",121.jpg,50808,4837.5,2128.843919,1
"121   NaN
Name: fold num, dtype: float64",122.jpg,30798.5,107,940.1046811,1
"122   NaN
Name: fold num, dtype: float64",123.jpg,14705,443.5,736.1635562,1
"123   NaN
Name: fold num, dtype: float64",124.jpg,67,23,769.9554055,1
"124   NaN
Name: fold num, dtype: float64",125.jpg,21965,3008,759.8620405,1
"125   NaN
Name: fold num, dtype: float64",126.jpg,29463,1443,809.1513636,1
"126   NaN
Name: fold num, dtype: float64",127.jpg,36993,338.5,1230.898618,1
"127   NaN
Name: fold num, dtype: float64",128.jpg,32890,1846.5,1070.187941,1
"128   NaN
Name: fold num, dtype: float64",129.jpg,47436,1570.5,1911.932232,1
"129   NaN
Name: fold num, dtype: float64",130.jpg,149,0,1142.371707,1
"130   NaN
Name: fold num, dtype: float64",131.jpg,48070,316,1994.861164,1
"131   NaN
Name: fold num, dtype: float64",132.jpg,34606,318,1112.798113,1
"132   NaN
Name: fold num, dtype: float64",133.jpg,47400,847,1931.564701,1
"133   NaN
Name: fold num, dtype: float64",134.jpg,32736,26.5,858.5483322,1
"134   NaN
Name: fold num, dtype: float64",135.jpg,32623.5,0,944.0458061,1
"135   NaN
Name: fold num, dtype: float64",136.jpg,6992,731.5,369.8061298,1
"136   NaN
Name: fold num, dtype: float64",137.jpg,46648,1199,1684.486493,1
"137   NaN
Name: fold num, dtype: float64",138.jpg,30440,745.5,920.3473217,1
"138   NaN
Name: fold num, dtype: float64",139.jpg,51624,1405.5,1402.923004,1
"139   NaN
Name: fold num, dtype: float64",140.jpg,247,63,1723.2388,1
"140   NaN
Name: fold num, dtype: float64",141.jpg,49028,1149.5,1804.920039,1
"141   NaN
Name: fold num, dtype: float64",142.jpg,21063,430.5,980.7320977,1
"142   NaN
Name: fold num, dtype: float64",143.jpg,50244,418,2037.790096,1
"143   NaN
Name: fold num, dtype: float64",144.jpg,106.5,92.5,1046.388952,1
"144   NaN
Name: fold num, dtype: float64",145.jpg,67.5,0,465.1442233,1
"145   NaN
Name: fold num, dtype: float64",146.jpg,76,34.5,566.984843,1
"146   NaN
Name: fold num, dtype: float64",147.jpg,251.5,30,1664.309868,1
"147   NaN
Name: fold num, dtype: float64",148.jpg,146.5,0,1117.58491,1
"148   NaN
Name: fold num, dtype: float64",149.jpg,42630,290.5,1903.28043,1
"149   NaN
Name: fold num, dtype: float64",150.jpg,47998,1073,1819.682451,1
"150   NaN
Name: fold num, dtype: float64",151.jpg,49324,262,1520.770764,1
"151   NaN
Name: fold num, dtype: float64",152.jpg,177.5,131.5,1483.089524,1
"152   NaN
Name: fold num, dtype: float64",153.jpg,48600,481.5,1894.209362,1
"153   NaN
Name: fold num, dtype: float64",154.jpg,29640,1099.5,1218.999124,1
"154   NaN
Name: fold num, dtype: float64",155.jpg,30518,183.5,940.4061968,1
"155   NaN
Name: fold num, dtype: float64",156.jpg,46.5,0,437.7472547,1
"156   NaN
Name: fold num, dtype: float64",157.jpg,51624,311,1527.131154,1
"157   NaN
Name: fold num, dtype: float64",158.jpg,19404,1517,868.447827,1
"158   NaN
Name: fold num, dtype: float64",159.jpg,146,79,1152.655978,1
"159   NaN
Name: fold num, dtype: float64",160.jpg,32265,321,984.832603,1
"160   NaN
Name: fold num, dtype: float64",161.jpg,36556,350.5,1114.153452,1
"161   NaN
Name: fold num, dtype: float64",162.jpg,10584,264.5,768.3645667,1
"162   NaN
Name: fold num, dtype: float64",163.jpg,42622,559.5,1355.935196,1
"163   NaN
Name: fold num, dtype: float64",164.jpg,26227,2506.5,819.3767593,1
"164   NaN
Name: fold num, dtype: float64",165.jpg,26880,311.5,913.3523741,1
"165   NaN
Name: fold num, dtype: float64",166.jpg,236,81,1716.469248,1
"166   NaN
Name: fold num, dtype: float64",167.jpg,281,1.5,1916.375883,1
"167   NaN
Name: fold num, dtype: float64",168.jpg,45288,2243.5,2141.228695,1
"168   NaN
Name: fold num, dtype: float64",169.jpg,33370,458.5,1116.413337,1
"169   NaN
Name: fold num, dtype: float64",170.jpg,119.5,56,749.678275,1
"170   NaN
Name: fold num, dtype: float64",171.jpg,44091,219.5,1544.930144,1
"171   NaN
Name: fold num, dtype: float64",172.jpg,250,171,2008.635768,1
"172   NaN
Name: fold num, dtype: float64",173.jpg,259,96.5,2139.547456,1
"173   NaN
Name: fold num, dtype: float64",174.jpg,255.5,0,2182.618523,1
"174   NaN
Name: fold num, dtype: float64",175.jpg,36652,10031,1260.195082,1
"175   NaN
Name: fold num, dtype: float64",176.jpg,11431,4316.5,681.4528793,1
"176   NaN
Name: fold num, dtype: float64",177.jpg,58804,1017.5,1817.765711,1
"177   NaN
Name: fold num, dtype: float64",178.jpg,10795,2669,898.6904676,1
"178   NaN
Name: fold num, dtype: float64",179.jpg,59286,416.5,1908.618523,1
"179   NaN
Name: fold num, dtype: float64",180.jpg,9198,2248.5,1167.141259,1
"180   NaN
Name: fold num, dtype: float64",181.jpg,221.5,0,1763.883461,1
"181   NaN
Name: fold num, dtype: float64",182.jpg,37115.5,306.5,875.6193999,1
"182   NaN
Name: fold num, dtype: float64",183.jpg,32922.5,0.5,995.8447956,1
"183   NaN
Name: fold num, dtype: float64",184.jpg,55388,1967.5,1378.437722,1
"184   NaN
Name: fold num, dtype: float64",185.jpg,42210,8588.5,1551.51593,1
"185   NaN
Name: fold num, dtype: float64",186.jpg,217,2,1551.959581,1
"186   NaN
Name: fold num, dtype: float64",187.jpg,41827.5,49.5,994.1635562,1
"187   NaN
Name: fold num, dtype: float64",188.jpg,41689,33,954.1463113,1
"188   NaN
Name: fold num, dtype: float64",189.jpg,56169,314,1750.510878,1
"189   NaN
Name: fold num, dtype: float64",190.jpg,57250,1875.5,2100.753519,1
"190   NaN
Name: fold num, dtype: float64",191.jpg,33522,77.5,899.5188947,1
"191   NaN
Name: fold num, dtype: float64",192.jpg,44134.5,92,1043.276254,1
"192   NaN
Name: fold num, dtype: float64",193.jpg,96.5,0,818.908723,1
"193   NaN
Name: fold num, dtype: float64",194.jpg,29952,1015,940.4061968,1
"194   NaN
Name: fold num, dtype: float64",195.jpg,267,151.5,1969.890602,1
"195   NaN
Name: fold num, dtype: float64",196.jpg,47232,8205.5,1281.124014,1
"196  NaN
Name: fold num, dtype: float64",197.jpg,54000,306,1431.675311,1
"197  NaN
Name: fold num, dtype: float64",198.jpg,60021,1020,1951.724081,1
"198  NaN
Name: fold num, dtype: float64",199.jpg,40976,1552.5,925.2590091,1
"199  NaN
Name: fold num, dtype: float64",200.jpg,39060,4032,1277.46716,1
"200  NaN
Name: fold num, dtype: float64",201.jpg,108.5,0,927.6193999,1
"201  NaN
Name: fold num, dtype: float64",202.jpg,85,0,839.2102387,1
"202  NaN
Name: fold num, dtype: float64",203.jpg,36282,51.5,1038.371707,1
"203   NaN
Name: fold num, dtype: float64",204.jpg,35202.5,709.5,897.2762541,1
"204   NaN
Name: fold num, dtype: float64",205.jpg,52670,1914,1469.876321,1
"205   NaN
Name: fold num, dtype: float64",206.jpg,44254,15639.5,1935.606331,1
"206   NaN
Name: fold num, dtype: float64",207.jpg,28385.5,146,866.5067021,1
"207   NaN
Name: fold num, dtype: float64",208.jpg,251.5,0,1754.594138,1
"208   NaN
Name: fold num, dtype: float64",209.jpg,241.5,156.5,1853.138295,1
"209   NaN
Name: fold num, dtype: float64",210.jpg,42971.5,1047,930.5899624,1
"210   NaN
Name: fold num, dtype: float64",211.jpg,283.5,38,2030.618523,1
"211   NaN
Name: fold num, dtype: float64",212.jpg,22050,532.5,1020.104681,1
"212   NaN
Name: fold num, dtype: float64",213.jpg,49060,3718.5,2332.684539,1
"213   NaN
Name: fold num, dtype: float64",214.jpg,273.5,20,1829.079419,1
"214   NaN
Name: fold num, dtype: float64",215.jpg,27135,6232.5,1123.685415,1
"215   NaN
Name: fold num, dtype: float64",216.jpg,205,0,1533.675311,1
"216   NaN
Name: fold num, dtype: float64",217.jpg,17670,1189,898.6315925,1
"217   NaN
Name: fold num, dtype: float64",218.jpg,56544,343,1826.753519,1
"218   NaN
Name: fold num, dtype: float64",219.jpg,36260,1900,1096.371707,1
"219   NaN
Name: fold num, dtype: float64",220.jpg,36789.5,71.5,924.5899624,1
"220   NaN
Name: fold num, dtype: float64",h1.jpg,34044.5,0,927.9625458,0
"221   NaN
Name: fold num, dtype: float64",h2.jpg,222.5,0,1831.339305,0
"222   NaN
Name: fold num, dtype: float64",h3.jpg,237,0,1819.925092,0
"223   NaN
Name: fold num, dtype: float64",h4.jpg,33871.5,0,915.2762541,0
"224   NaN
Name: fold num, dtype: float64",h5.jpg,35539.5,0,891.4772645,0
"225   NaN
Name: fold num, dtype: float64",h6.jpg,35220,0,922.8914781,0
"226   NaN
Name: fold num, dtype: float64",h7.jpg,227.5,0,1826.996159,0
"227   NaN
Name: fold num, dtype: float64",h8.jpg,184,0,1348.964634,0
"228   NaN
Name: fold num, dtype: float64",h9.jpg,30615,0,827.293499,0
"229   NaN
Name: fold num, dtype: float64",h10.jpg,58.5,0,536.1736609,0
"230   NaN
Name: fold num, dtype: float64",h11.jpg,29213,0,876.8914781,0
"231   NaN
Name: fold num, dtype: float64",h12.jpg,242.5,0,1872.452003,0
"232  NaN
Name: fold num, dtype: float64",h13.jpg,129.5,0,949.9036707,0
"233  NaN
Name: fold num, dtype: float64",h14.jpg,39401.5,0,868.447827,0
"234  NaN
Name: fold num, dtype: float64",h15.jpg,245.5,0,1905.138295,0
"235   NaN
Name: fold num, dtype: float64",h16.jpg,154.5,0,1274.555472,0
"236   NaN
Name: fold num, dtype: float64",h17.jpg,33900,0,878.1219261,0
"237   NaN
Name: fold num, dtype: float64",h18.jpg,35113.5,0,940.1046811,0
"238   NaN
Name: fold num, dtype: float64",h19.jpg,207,0,1769.498685,0
"239  NaN
Name: fold num, dtype: float64",h20.jpg,27395,0,821.4945095,0
"240   NaN
Name: fold num, dtype: float64",h21.jpg,33608.5,0,856.3056916,0
"241   NaN
Name: fold num, dtype: float64",h22.jpg,253.5,0,1682.795149,0
"242   NaN
Name: fold num, dtype: float64",h23.jpg,38253.5,0,924.7320977,0
"243   NaN
Name: fold num, dtype: float64",h24.jpg,201.5,0,1461.574805,0
"244   NaN
Name: fold num, dtype: float64",h25.jpg,201.5,0,1336.663118,0
"245   NaN
Name: fold num, dtype: float64",h26.jpg,37039,0,904.4650719,0
"246   NaN
Name: fold num, dtype: float64",h27.jpg,36339,0,1170.111821,0
"247   NaN
Name: fold num, dtype: float64",h28.jpg,226.5,0,1664.084472,0
"248   NaN
Name: fold num, dtype: float64",h29.jpg,214.5,0,1469.23166,0
"249   NaN
Name: fold num, dtype: float64",h30.jpg,39296,0,946.2051864,0
"250  NaN
Name: fold num, dtype: float64",h31.jpg,30264.5,0,918.447827,0
"251   NaN
Name: fold num, dtype: float64",h32.jpg,277.5,0,1948.192117,0
"252   NaN
Name: fold num, dtype: float64",h33.jpg,111.5,0,1102.246817,0
"253   NaN
Name: fold num, dtype: float64",h34.jpg,33759.5,0,838.0214208,0
"254   NaN
Name: fold num, dtype: float64",h35.jpg,220.5,0,1737.39818,0
"255   NaN
Name: fold num, dtype: float64",h36.jpg,224,0,1850.753519,0
"256   NaN
Name: fold num, dtype: float64",h37.jpg,38601,0,976.9158633,0
"257   NaN
Name: fold num, dtype: float64",h38.jpg,36665,0,955.2346239,0
"258   NaN
Name: fold num, dtype: float64",h39.jpg,382,0,2176.282518,0
"259   NaN
Name: fold num, dtype: float64",h40.jpg,275.5,0,2082.476388,0
"260   NaN
Name: fold num, dtype: float64",h41.jpg,37306,3.5,910.2051864,0
"261   NaN
Name: fold num, dtype: float64",h42.jpg,37504,0,944.9747384,0
"262   NaN
Name: fold num, dtype: float64",h43.jpg,34393,0,797.3523741,0
"263   NaN
Name: fold num, dtype: float64",h44.jpg,30049.5,0,1105.016369,0
"264   NaN
Name: fold num, dtype: float64",h45.jpg,222.5,0,1626.770764,0
"265   NaN
Name: fold num, dtype: float64",h46.jpg,221.5,0,1678.770764,0
"266   NaN
Name: fold num, dtype: float64",h47.jpg,32787,0,826.4061968,0
"267   NaN
Name: fold num, dtype: float64",h48.jpg,32857.5,0,815.678275,0
"268   NaN
Name: fold num, dtype: float64",h49.jpg,29756.5,0,959.0163685,0
"269   NaN
Name: fold num, dtype: float64",h50.jpg,234.5,0,1809.339305,0
"270   NaN
Name: fold num, dtype: float64",h51.jpg,38766.5,0,942.7320977,0
"271   NaN
Name: fold num, dtype: float64",h52.jpg,35540,0,828.0386658,0
"272   NaN
Name: fold num, dtype: float64",h53.jpg,36326,0,937.5777698,0
"273   NaN
Name: fold num, dtype: float64",h54.jpg,35483,0,884.4061968,0
"274   NaN
Name: fold num, dtype: float64",h55.jpg,234,0,1888.753519,0
"275   NaN
Name: fold num, dtype: float64",h56.jpg,242.5,0,1877.138295,0
"276   NaN
Name: fold num, dtype: float64",h57.jpg,250,0,1749.43981,0
"277   NaN
Name: fold num, dtype: float64",h58.jpg,133.5,0,1014.045806,0
"278   NaN
Name: fold num, dtype: float64",h59.jpg,34416,0,1008.631593,0
"279  NaN
Name: fold num, dtype: float64",h60.jpg,201,0,1692.729133,0
"280  NaN
Name: fold num, dtype: float64",h61.jpg,38119.5,0,960.8742331,0
"281  NaN
Name: fold num, dtype: float64",h62.jpg,207,91,1743.55756,0
"282   NaN
Name: fold num, dtype: float64",h63.jpg,113,0,1011.033613,0
"283  NaN
Name: fold num, dtype: float64",h64.jpg,256,0,1790.611383,0
"284   NaN
Name: fold num, dtype: float64",h65.jpg,166.5,0,994.1290663,0
"285  NaN
Name: fold num, dtype: float64",h66.jpg,27433,0,755.0924885,0
"286   NaN
Name: fold num, dtype: float64",h67.jpg,199.5,0,1727.942336,0
"287  NaN
Name: fold num, dtype: float64",h68.jpg,201.5,0,1669.942336,0
"288   NaN
Name: fold num, dtype: float64",h69.jpg,230,0,1761.983967,0
"289  NaN
Name: fold num, dtype: float64",h70.jpg,31128.5,0,892.5067021,0
"290 NaN
Name: fold num, dtype: float64",h71.jpg,256.5,0,2070.819534,0
"291 NaN
Name: fold num, dtype: float64",h72.jpg,38211.5,0,1074.673223,0
"292 NaN
Name: fold num, dtype: float64",h73.jpg,237.5,0,1834.996159,0
"293 NaN
Name: fold num, dtype: float64",h74.jpg,134,0,1396.999124,0
"294 NaN
Name: fold num, dtype: float64",h75.jpg,257,0,1944.978914,0
"295 NaN
Name: fold num, dtype: float64",h76.jpg,182.5,0,1632.604243,0
"296 NaN
Name: fold num, dtype: float64",h77.jpg,294,0,2238.96881,0
"297 NaN
Name: fold num, dtype: float64",h78.jpg,28523,0,849.5777698,0
"298 NaN
Name: fold num, dtype: float64",h79.jpg,170,0,1485.935196,0
"299 NaN
Name: fold num, dtype: float64",h80.jpg,36935.5,0,954.1046811,0
"300 NaN
Name: fold num, dtype: float64",h81.jpg,231,0,1711.43981,0
"301 NaN
Name: fold num, dtype: float64",h82.jpg,31187,0,828.2640615,0
"302 NaN
Name: fold num, dtype: float64",h83.jpg,200.5,0,1510.947389,0
"303 NaN
Name: fold num, dtype: float64",h84.jpg,32774,0,818.6072073,0
"304 NaN
Name: fold num, dtype: float64",h85.jpg,32575.5,0,911.1341187,0
"305 NaN
Name: fold num, dtype: float64",h86.jpg,212,0,1780.670258,0
"306 NaN
Name: fold num, dtype: float64",h87.jpg,38660.5,0,904.3645667,0
"307 NaN
Name: fold num, dtype: float64",h88.jpg,270,0,1852.635768,0
"308 NaN
Name: fold num, dtype: float64",h89.jpg,268.5,0,1929.932232,0
"309 NaN
Name: fold num, dtype: float64",h90.jpg,288,0,2124.317008,0
"310 NaN
Name: fold num, dtype: float64",h91.jpg,31179.5,0,870.7909728,0
"311 NaN
Name: fold num, dtype: float64",h92.jpg,220.5,0,1860.711888,0
"312 NaN
Name: fold num, dtype: float64",h93.jpg,255.5,0,1833.765711,0
"313 NaN
Name: fold num, dtype: float64",h94.jpg,187,0,1743.616436,0
"314 NaN
Name: fold num, dtype: float64",h95.jpg,30059,0,1108.798113,0
"315 NaN
Name: fold num, dtype: float64",h96.jpg,30947,0,860.5483322,0
"316 NaN
Name: fold num, dtype: float64",h97.jpg,245.5,0,1880.250992,0
"317 NaN
Name: fold num, dtype: float64",h98.jpg,149,0,1093.54328,0
"318 NaN
Name: fold num, dtype: float64",h99.jpg,246,0,1994.434758,0
"319 NaN
Name: fold num, dtype: float64",h100.jpg,36902.5,0,831.0508584,0
"320 NaN
Name: fold num, dtype: float64",h101.jpg,193,0,1818.788008,0
"321 NaN
Name: fold num, dtype: float64",h102.jpg,33532,0,875.5777698,0
"322 NaN
Name: fold num, dtype: float64",h103.jpg,32382,0,891.7199051,0
"323 NaN
Name: fold num, dtype: float64",h104.jpg,38398,0,941.8620405,0
"324 NaN
Name: fold num, dtype: float64",h105.jpg,34772,0,853.0336134,0
"325 NaN
Name: fold num, dtype: float64",h106.jpg,216.5,0,1801.599191,0
"326 NaN
Name: fold num, dtype: float64",h107.jpg,36354,0,871.293499,0
"327 NaN
Name: fold num, dtype: float64",h108.jpg,254.5,0,1640.368743,0
"328 NaN
Name: fold num, dtype: float64",h109.jpg,33080,0,853.6366448,0
"329 NaN
Name: fold num, dtype: float64",h110.jpg,28667,0,768.1219261,0
